"index","date","price"
"KOSPI200","2012-01-02","238.7"
"KOSPI200","2012-01-03","245.82"
"KOSPI200","2012-01-04","244.24"
"KOSPI200","2012-01-05","243.56"
"KOSPI200","2012-01-06","240.57"
"KOSPI200","2012-01-07","240.57"
"KOSPI200","2012-01-09","238.02"
"KOSPI200","2012-01-10","241.69"
"KOSPI200","2012-01-11","240.83"
"KOSPI200","2012-01-12","243.46"
"KOSPI200","2012-01-13","245.28"
"KOSPI200","2012-01-14","245.28"
"KOSPI200","2012-01-16","243.1"
"KOSPI200","2012-01-17","247.81"
"KOSPI200","2012-01-18","247.82"
"KOSPI200","2012-01-19","251.27"
"KOSPI200","2012-01-20","256.61"
"KOSPI200","2012-01-21","256.61"
"KOSPI200","2012-01-23","256.61"
"KOSPI200","2012-01-24","256.61"
"KOSPI200","2012-01-25","257.14"
"KOSPI200","2012-01-26","257.52"
"KOSPI200","2012-01-27","258.65"
"KOSPI200","2012-01-28","258.65"
"KOSPI200","2012-01-30","255.21"
"KOSPI200","2012-01-31","256.9"
"KOSPI200","2012-02-01","257.06"
"KOSPI200","2012-02-02","260.35"
"KOSPI200","2012-02-03","258.53"
"KOSPI200","2012-02-04","258.53"
"KOSPI200","2012-02-06","258.93"
"KOSPI200","2012-02-07","259.8"
"KOSPI200","2012-02-08","262.94"
"KOSPI200","2012-02-09","264.5"
"KOSPI200","2012-02-10","261.17"
"KOSPI200","2012-02-11","261.17"
"KOSPI200","2012-02-13","262.75"
"KOSPI200","2012-02-14","262.38"
"KOSPI200","2012-02-15","265.88"
"KOSPI200","2012-02-16","261.89"
"KOSPI200","2012-02-17","265.82"
"KOSPI200","2012-02-18","265.82"
"KOSPI200","2012-02-20","265.95"
"KOSPI200","2012-02-21","265.89"
"KOSPI200","2012-02-22","266.63"
"KOSPI200","2012-02-23","263.58"
"KOSPI200","2012-02-24","265.2"
"KOSPI200","2012-02-25","265.2"
"KOSPI200","2012-02-27","261.3"
"KOSPI200","2012-02-28","263.45"
"KOSPI200","2012-02-29","267.13"
"KOSPI200","2012-03-01","267.13"
"KOSPI200","2012-03-02","267.45"
"KOSPI200","2012-03-03","267.45"
"KOSPI200","2012-03-05","264.75"
"KOSPI200","2012-03-06","262.85"
"KOSPI200","2012-03-07","260.35"
"KOSPI200","2012-03-08","262.85"
"KOSPI200","2012-03-09","265.62"
"KOSPI200","2012-03-10","265.62"
"KOSPI200","2012-03-12","263.74"
"KOSPI200","2012-03-13","266.9"
"KOSPI200","2012-03-14","269.85"
"KOSPI200","2012-03-15","269.76"
"KOSPI200","2012-03-16","268.27"
"KOSPI200","2012-03-17","268.27"
"KOSPI200","2012-03-19","270.27"
"KOSPI200","2012-03-20","269.68"
"KOSPI200","2012-03-21","267.79"
"KOSPI200","2012-03-22","267.98"
"KOSPI200","2012-03-23","267.95"
"KOSPI200","2012-03-24","267.95"
"KOSPI200","2012-03-26","267.41"
"KOSPI200","2012-03-27","270.71"
"KOSPI200","2012-03-28","269.64"
"KOSPI200","2012-03-29","267.13"
"KOSPI200","2012-03-30","266.58"
"KOSPI200","2012-03-31","266.58"
"KOSPI200","2012-04-02","268.99"
"KOSPI200","2012-04-03","272.46"
"KOSPI200","2012-04-04","268.33"
"KOSPI200","2012-04-05","269.96"
"KOSPI200","2012-04-06","269.97"
"KOSPI200","2012-04-07","269.97"
"KOSPI200","2012-04-09","265.88"
"KOSPI200","2012-04-10","265.38"
"KOSPI200","2012-04-11","265.38"
"KOSPI200","2012-04-12","263.95"
"KOSPI200","2012-04-13","266.86"
"KOSPI200","2012-04-14","266.86"
"KOSPI200","2012-04-16","264.49"
"KOSPI200","2012-04-17","263.32"
"KOSPI200","2012-04-18","266.22"
"KOSPI200","2012-04-19","265.58"
"KOSPI200","2012-04-20","261.84"
"KOSPI200","2012-04-21","261.84"
"KOSPI200","2012-04-23","261.66"
"KOSPI200","2012-04-24","260.76"
"KOSPI200","2012-04-25","260.82"
"KOSPI200","2012-04-26","261.51"
"KOSPI200","2012-04-27","263.43"
"KOSPI200","2012-04-28","263.43"
"KOSPI200","2012-04-30","264.35"
"KOSPI200","2012-05-01","264.35"
"KOSPI200","2012-05-02","266.61"
"KOSPI200","2012-05-03","266.05"
"KOSPI200","2012-05-04","264.4"
"KOSPI200","2012-05-05","264.4"
"KOSPI200","2012-05-07","259.73"
"KOSPI200","2012-05-08","261.12"
"KOSPI200","2012-05-09","258.79"
"KOSPI200","2012-05-10","257.89"
"KOSPI200","2012-05-11","254"
"KOSPI200","2012-05-12","254"
"KOSPI200","2012-05-14","254.11"
"KOSPI200","2012-05-15","252.32"
"KOSPI200","2012-05-16","243.93"
"KOSPI200","2012-05-17","244.48"
"KOSPI200","2012-05-18","235.85"
"KOSPI200","2012-05-19","235.85"
"KOSPI200","2012-05-21","238.62"
"KOSPI200","2012-05-22","242.66"
"KOSPI200","2012-05-23","239.76"
"KOSPI200","2012-05-24","240.51"
"KOSPI200","2012-05-25","241.6"
"KOSPI200","2012-05-26","241.6"
"KOSPI200","2012-05-28","241.6"
"KOSPI200","2012-05-29","245.26"
"KOSPI200","2012-05-30","244.68"
"KOSPI200","2012-05-31","244.05"
"KOSPI200","2012-06-01","242.98"
"KOSPI200","2012-06-02","242.98"
"KOSPI200","2012-06-04","236.3"
"KOSPI200","2012-06-05","238.79"
"KOSPI200","2012-06-06","238.79"
"KOSPI200","2012-06-07","245.51"
"KOSPI200","2012-06-08","243.69"
"KOSPI200","2012-06-09","243.69"
"KOSPI200","2012-06-11","248.3"
"KOSPI200","2012-06-12","246.43"
"KOSPI200","2012-06-13","247.08"
"KOSPI200","2012-06-14","248.62"
"KOSPI200","2012-06-15","246.57"
"KOSPI200","2012-06-16","246.57"
"KOSPI200","2012-06-18","251.37"
"KOSPI200","2012-06-19","251.31"
"KOSPI200","2012-06-20","252.92"
"KOSPI200","2012-06-21","250.46"
"KOSPI200","2012-06-22","244.15"
"KOSPI200","2012-06-23","244.15"
"KOSPI200","2012-06-25","240.75"
"KOSPI200","2012-06-26","239.68"
"KOSPI200","2012-06-27","239.85"
"KOSPI200","2012-06-28","239.98"
"KOSPI200","2012-06-29","244.9"
"KOSPI200","2012-06-30","244.9"
"KOSPI200","2012-07-02","244.46"
"KOSPI200","2012-07-03","246.8"
"KOSPI200","2012-07-04","247.76"
"KOSPI200","2012-07-05","247.67"
"KOSPI200","2012-07-06","245.07"
"KOSPI200","2012-07-07","245.07"
"KOSPI200","2012-07-09","241.73"
"KOSPI200","2012-07-10","240.88"
"KOSPI200","2012-07-11","240.34"
"KOSPI200","2012-07-12","234.66"
"KOSPI200","2012-07-13","238.77"
"KOSPI200","2012-07-14","238.77"
"KOSPI200","2012-07-16","239.39"
"KOSPI200","2012-07-17","240.19"
"KOSPI200","2012-07-18","236.42"
"KOSPI200","2012-07-19","240.44"
"KOSPI200","2012-07-20","240.35"
"KOSPI200","2012-07-21","240.35"
"KOSPI200","2012-07-23","235.75"
"KOSPI200","2012-07-24","236.65"
"KOSPI200","2012-07-25","233.49"
"KOSPI200","2012-07-26","235.33"
"KOSPI200","2012-07-27","242.23"
