"index","date","price"
"S&P500","2008-03-03","1331.34"
"S&P500","2008-03-04","1326.75"
"S&P500","2008-03-05","1333.7"
"S&P500","2008-03-06","1304.34"
"S&P500","2008-03-07","1293.37"
"S&P500","2008-03-08","1293.37"
"S&P500","2008-03-10","1273.37"
"S&P500","2008-03-11","1320.65"
"S&P500","2008-03-12","1308.77"
"S&P500","2008-03-13","1315.48"
"S&P500","2008-03-14","1288.14"
"S&P500","2008-03-15","1288.14"
"S&P500","2008-03-17","1276.6"
"S&P500","2008-03-18","1330.74"
"S&P500","2008-03-19","1298.42"
"S&P500","2008-03-20","1329.51"
"S&P500","2008-03-21","1329.51"
"S&P500","2008-03-22","1329.51"
"S&P500","2008-03-24","1349.88"
"S&P500","2008-03-25","1352.99"
"S&P500","2008-03-26","1341.13"
"S&P500","2008-03-27","1325.76"
"S&P500","2008-03-28","1315.22"
"S&P500","2008-03-29","1315.22"
"S&P500","2008-03-31","1322.7"
"S&P500","2008-04-01","1370.18"
"S&P500","2008-04-02","1367.53"
"S&P500","2008-04-03","1369.31"
"S&P500","2008-04-04","1370.4"
"S&P500","2008-04-05","1370.4"
"S&P500","2008-04-07","1372.54"
"S&P500","2008-04-08","1365.54"
"S&P500","2008-04-09","1354.49"
"S&P500","2008-04-10","1360.55"
"S&P500","2008-04-11","1332.83"
"S&P500","2008-04-12","1332.83"
"S&P500","2008-04-14","1328.32"
"S&P500","2008-04-15","1334.43"
"S&P500","2008-04-16","1364.71"
"S&P500","2008-04-17","1365.56"
"S&P500","2008-04-18","1390.33"
"S&P500","2008-04-19","1390.33"
"S&P500","2008-04-21","1388.17"
"S&P500","2008-04-22","1375.94"
"S&P500","2008-04-23","1379.93"
"S&P500","2008-04-24","1388.82"
"S&P500","2008-04-25","1397.84"
"S&P500","2008-04-26","1397.84"
"S&P500","2008-04-28","1396.37"
"S&P500","2008-04-29","1390.94"
"S&P500","2008-04-30","1385.59"
"S&P500","2008-05-01","1409.34"
"S&P500","2008-05-02","1413.9"
"S&P500","2008-05-03","1413.9"
"S&P500","2008-05-05","1407.49"
"S&P500","2008-05-06","1418.26"
"S&P500","2008-05-07","1392.57"
"S&P500","2008-05-08","1397.68"
"S&P500","2008-05-09","1388.28"
"S&P500","2008-05-10","1388.28"
"S&P500","2008-05-12","1403.58"
"S&P500","2008-05-13","1403.04"
"S&P500","2008-05-14","1408.66"
"S&P500","2008-05-15","1423.57"
"S&P500","2008-05-16","1425.35"
"S&P500","2008-05-17","1425.35"
"S&P500","2008-05-19","1426.63"
"S&P500","2008-05-20","1413.4"
"S&P500","2008-05-21","1390.71"
"S&P500","2008-05-22","1394.35"
"S&P500","2008-05-23","1375.93"
"S&P500","2008-05-24","1375.93"
"S&P500","2008-05-26","1375.93"
"S&P500","2008-05-27","1385.35"
"S&P500","2008-05-28","1390.84"
"S&P500","2008-05-29","1398.26"
"S&P500","2008-05-30","1400.38"
"S&P500","2008-05-31","1400.38"
"S&P500","2008-06-02","1385.67"
"S&P500","2008-06-03","1377.65"
"S&P500","2008-06-04","1377.2"
"S&P500","2008-06-05","1404.05"
"S&P500","2008-06-06","1360.68"
"S&P500","2008-06-07","1360.68"
"S&P500","2008-06-09","1361.76"
"S&P500","2008-06-10","1358.44"
"S&P500","2008-06-11","1335.49"
"S&P500","2008-06-12","1339.87"
"S&P500","2008-06-13","1360.03"
"S&P500","2008-06-14","1360.03"
"S&P500","2008-06-16","1360.14"
"S&P500","2008-06-17","1350.93"
"S&P500","2008-06-18","1337.81"
"S&P500","2008-06-19","1342.83"
"S&P500","2008-06-20","1317.93"
"S&P500","2008-06-21","1317.93"
"S&P500","2008-06-23","1318"
"S&P500","2008-06-24","1314.29"
"S&P500","2008-06-25","1321.97"
"S&P500","2008-06-26","1283.15"
"S&P500","2008-06-27","1278.38"
"S&P500","2008-06-28","1278.38"
"S&P500","2008-06-30","1280"
"S&P500","2008-07-01","1284.91"
"S&P500","2008-07-02","1261.52"
"S&P500","2008-07-03","1262.9"
"S&P500","2008-07-04","1262.9"
"S&P500","2008-07-05","1262.9"
"S&P500","2008-07-07","1252.31"
"S&P500","2008-07-08","1273.7"
"S&P500","2008-07-09","1244.68"
"S&P500","2008-07-10","1253.39"
"S&P500","2008-07-11","1239.49"
"S&P500","2008-07-12","1239.49"
"S&P500","2008-07-14","1228.3"
"S&P500","2008-07-15","1214.91"
"S&P500","2008-07-16","1245.36"
"S&P500","2008-07-17","1260.32"
"S&P500","2008-07-18","1260.68"
"S&P500","2008-07-19","1260.68"
"S&P500","2008-07-21","1260"
"S&P500","2008-07-22","1277"
"S&P500","2008-07-23","1282.19"
"S&P500","2008-07-24","1252.54"
"S&P500","2008-07-25","1257.76"
"S&P500","2008-07-26","1257.76"
"S&P500","2008-07-28","1234.37"
"S&P500","2008-07-29","1263.19"
"S&P500","2008-07-30","1284.26"
"S&P500","2008-07-31","1267.38"
"S&P500","2008-08-01","1260.31"
"S&P500","2008-08-02","1260.31"
"S&P500","2008-08-04","1249.01"
"S&P500","2008-08-05","1284.88"
"S&P500","2008-08-06","1289.19"
"S&P500","2008-08-07","1266.06"
"S&P500","2008-08-08","1296.31"
"S&P500","2008-08-09","1296.31"
"S&P500","2008-08-11","1305.32"
"S&P500","2008-08-12","1289.59"
"S&P500","2008-08-13","1285.83"
"S&P500","2008-08-14","1292.93"
"S&P500","2008-08-15","1298.2"
"S&P500","2008-08-16","1298.2"
"S&P500","2008-08-18","1278.6"
"S&P500","2008-08-19","1266.69"
"S&P500","2008-08-20","1274.54"
"S&P500","2008-08-21","1277.72"
"S&P500","2008-08-22","1292.2"
"S&P500","2008-08-23","1292.2"
"S&P500","2008-08-25","1266.84"
"S&P500","2008-08-26","1271.51"
"S&P500","2008-08-27","1281.66"
"S&P500","2008-08-28","1300.68"
"S&P500","2008-08-29","1282.83"
"S&P500","2008-08-30","1282.83"
"S&P500","2008-09-01","1282.83"
"S&P500","2008-09-02","1277.58"
"S&P500","2008-09-03","1274.98"
"S&P500","2008-09-04","1236.83"
"S&P500","2008-09-05","1242.31"
"S&P500","2008-09-06","1242.31"
"S&P500","2008-09-08","1267.79"
"S&P500","2008-09-09","1224.51"
"S&P500","2008-09-10","1232.04"
"S&P500","2008-09-11","1249.05"
"S&P500","2008-09-12","1251.7"
"S&P500","2008-09-13","1251.7"
"S&P500","2008-09-15","1192.7"
"S&P500","2008-09-16","1213.6"
"S&P500","2008-09-17","1156.39"
"S&P500","2008-09-18","1206.51"
"S&P500","2008-09-19","1255.08"
"S&P500","2008-09-20","1255.08"
"S&P500","2008-09-22","1207.09"
"S&P500","2008-09-23","1188.22"
"S&P500","2008-09-24","1185.87"
"S&P500","2008-09-25","1209.18"
"S&P500","2008-09-26","1213.01"
"S&P500","2008-09-27","1213.01"
"S&P500","2008-09-29","1106.39"
"S&P500","2008-09-30","1164.74"
"S&P500","2008-10-01","1161.06"
"S&P500","2008-10-02","1114.28"
"S&P500","2008-10-03","1099.23"
"S&P500","2008-10-04","1099.23"
"S&P500","2008-10-06","1056.89"
"S&P500","2008-10-07","996.23"
"S&P500","2008-10-08","984.94"
"S&P500","2008-10-09","909.92"
"S&P500","2008-10-10","899.22"
"S&P500","2008-10-13","1003.35"
"S&P500","2008-10-14","998.01"
"S&P500","2008-10-15","907.84"
"S&P500","2008-10-16","946.43"
"S&P500","2008-10-17","940.55"
"S&P500","2008-10-20","985.4"
"S&P500","2008-10-21","955.05"
"S&P500","2008-10-22","896.78"
"S&P500","2008-10-23","908.11"
"S&P500","2008-10-24","876.77"
"S&P500","2008-10-25","876.77"
"S&P500","2008-10-27","848.92"
"S&P500","2008-10-28","940.51"
"S&P500","2008-10-29","930.09"
"S&P500","2008-10-30","954.09"
"S&P500","2008-10-31","968.75"
"S&P500","2008-11-01","968.75"
"S&P500","2008-11-03","966.3"
"S&P500","2008-11-04","1005.75"
"S&P500","2008-11-05","952.77"
"S&P500","2008-11-06","904.88"
"S&P500","2008-11-07","930.99"
"S&P500","2008-11-08","930.99"
"S&P500","2008-11-10","919.21"
"S&P500","2008-11-11","898.95"
"S&P500","2008-11-12","852.3"
"S&P500","2008-11-13","911.29"
"S&P500","2008-11-14","873.29"
"S&P500","2008-11-15","873.29"
"S&P500","2008-11-17","850.75"
"S&P500","2008-11-18","859.12"
"S&P500","2008-11-19","806.58"
"S&P500","2008-11-20","752.44"
"S&P500","2008-11-21","800.03"
"S&P500","2008-11-22","800.03"
"S&P500","2008-11-24","851.81"
"S&P500","2008-11-25","857.39"
"S&P500","2008-11-26","887.68"
"S&P500","2008-11-27","887.68"
"S&P500","2008-11-28","896.24"
"S&P500","2008-11-29","896.24"
"S&P500","2008-12-01","816.21"
"S&P500","2008-12-02","848.81"
"S&P500","2008-12-03","870.74"
"S&P500","2008-12-04","845.22"
"S&P500","2008-12-05","876.07"
"S&P500","2008-12-06","876.07"
"S&P500","2008-12-08","909.7"
"S&P500","2008-12-09","888.67"
"S&P500","2008-12-10","899.24"
"S&P500","2008-12-11","873.59"
"S&P500","2008-12-12","879.73"
"S&P500","2008-12-13","879.73"
"S&P500","2008-12-15","868.57"
"S&P500","2008-12-16","913.18"
"S&P500","2008-12-17","904.42"
"S&P500","2008-12-18","885.28"
"S&P500","2008-12-19","887.88"
"S&P500","2008-12-20","887.88"
"S&P500","2008-12-22","871.63"
"S&P500","2008-12-23","863.16"
"S&P500","2008-12-24","868.15"
"S&P500","2008-12-25","868.15"
"S&P500","2008-12-26","872.8"
"S&P500","2008-12-27","872.8"
"S&P500","2008-12-29","869.42"
"S&P500","2008-12-30","890.64"
"S&P500","2008-12-31","903.25"
"S&P500","2009-01-01","903.25"
"S&P500","2009-01-02","931.8"
"S&P500","2009-01-03","931.8"
"S&P500","2009-01-05","927.45"
"S&P500","2009-01-06","934.7"
"S&P500","2009-01-07","906.65"
"S&P500","2009-01-08","909.73"
"S&P500","2009-01-09","890.35"
"S&P500","2009-01-10","890.35"
"S&P500","2009-01-12","870.26"
"S&P500","2009-01-13","871.79"
"S&P500","2009-01-14","842.62"
"S&P500","2009-01-15","843.74"
"S&P500","2009-01-16","850.12"
"S&P500","2009-01-17","850.12"
"S&P500","2009-01-19","850.12"
"S&P500","2009-01-20","805.22"
"S&P500","2009-01-21","840.24"
"S&P500","2009-01-22","827.5"
"S&P500","2009-01-23","831.95"
"S&P500","2009-01-24","831.95"
"S&P500","2009-01-26","836.57"
"S&P500","2009-01-27","845.71"
"S&P500","2009-01-28","874.09"
"S&P500","2009-01-29","845.14"
"S&P500","2009-01-30","825.88"
"S&P500","2009-01-31","825.88"
"S&P500","2009-02-02","825.44"
"S&P500","2009-02-03","838.51"
"S&P500","2009-02-04","832.23"
"S&P500","2009-02-05","845.85"
"S&P500","2009-02-06","868.6"
"S&P500","2009-02-07","868.6"
"S&P500","2009-02-09","869.89"
"S&P500","2009-02-10","827.16"
"S&P500","2009-02-11","833.74"
"S&P500","2009-02-12","835.19"
"S&P500","2009-02-13","826.84"
"S&P500","2009-02-14","826.84"
"S&P500","2009-02-16","826.84"
"S&P500","2009-02-17","789.17"
"S&P500","2009-02-18","788.42"
"S&P500","2009-02-19","778.94"
"S&P500","2009-02-20","770.05"
"S&P500","2009-02-21","770.05"
"S&P500","2009-02-23","743.33"
"S&P500","2009-02-24","773.14"
"S&P500","2009-02-25","764.9"
"S&P500","2009-02-26","752.83"
"S&P500","2009-02-27","735.09"
"S&P500","2009-02-28","735.09"
"S&P500","2009-03-02","700.82"
"S&P500","2009-03-03","696.33"
"S&P500","2009-03-04","712.87"
"S&P500","2009-03-05","682.55"
"S&P500","2009-03-06","683.38"
"S&P500","2009-03-07","683.38"
"S&P500","2009-03-09","676.53"
"S&P500","2009-03-10","719.6"
"S&P500","2009-03-11","721.36"
"S&P500","2009-03-12","750.74"
"S&P500","2009-03-13","756.55"
"S&P500","2009-03-14","756.55"
"S&P500","2009-03-16","753.89"
"S&P500","2009-03-17","778.12"
"S&P500","2009-03-18","794.35"
"S&P500","2009-03-19","784.04"
"S&P500","2009-03-20","768.54"
"S&P500","2009-03-21","768.54"
"S&P500","2009-03-23","822.92"
"S&P500","2009-03-24","806.25"
"S&P500","2009-03-25","813.88"
"S&P500","2009-03-26","832.86"
"S&P500","2009-03-27","815.94"
"S&P500","2009-03-28","815.94"
"S&P500","2009-03-30","787.53"
"S&P500","2009-03-31","797.87"
"S&P500","2009-04-01","811.08"
"S&P500","2009-04-02","834.38"
"S&P500","2009-04-03","842.5"
"S&P500","2009-04-04","842.5"
"S&P500","2009-04-06","835.48"
"S&P500","2009-04-07","815.55"
"S&P500","2009-04-08","825.16"
"S&P500","2009-04-09","856.56"
"S&P500","2009-04-10","856.56"
"S&P500","2009-04-11","856.56"
"S&P500","2009-04-13","858.73"
"S&P500","2009-04-14","841.5"
"S&P500","2009-04-15","852.06"
"S&P500","2009-04-16","865.3"
"S&P500","2009-04-17","869.6"
"S&P500","2009-04-18","869.6"
"S&P500","2009-04-20","832.39"
"S&P500","2009-04-21","850.08"
"S&P500","2009-04-22","843.55"
"S&P500","2009-04-23","851.92"
"S&P500","2009-04-24","866.23"
"S&P500","2009-04-25","866.23"
"S&P500","2009-04-27","857.51"
"S&P500","2009-04-28","855.16"
"S&P500","2009-04-29","873.64"
"S&P500","2009-04-30","872.81"
"S&P500","2009-05-01","877.52"
"S&P500","2009-05-02","877.52"
"S&P500","2009-05-04","907.24"
"S&P500","2009-05-05","903.8"
"S&P500","2009-05-06","919.53"
"S&P500","2009-05-07","907.39"
"S&P500","2009-05-08","929.23"
"S&P500","2009-05-09","929.23"
"S&P500","2009-05-11","909.24"
"S&P500","2009-05-12","908.35"
"S&P500","2009-05-13","883.92"
"S&P500","2009-05-14","893.07"
"S&P500","2009-05-15","882.88"
"S&P500","2009-05-16","882.88"
"S&P500","2009-05-18","909.71"
"S&P500","2009-05-19","908.13"
"S&P500","2009-05-20","903.47"
"S&P500","2009-05-21","888.33"
"S&P500","2009-05-22","887"
"S&P500","2009-05-23","887"
"S&P500","2009-05-25","887"
"S&P500","2009-05-26","910.33"
"S&P500","2009-05-27","893.06"
"S&P500","2009-05-28","906.83"
"S&P500","2009-05-29","919.14"
