date,name,returnRate
2008-03-03,매운맛,0
2008-03-03,KOSPI200,0
2008-03-04,매운맛,-0.544833900
2008-03-04,KOSPI200,0.193642800
2008-03-05,매운맛,0.164530900
2008-03-05,KOSPI200,0.193642800
2008-03-06,매운맛,-0.239383100
2008-03-06,KOSPI200,1.506635800
2008-03-07,매운맛,-0.412445500
2008-03-07,KOSPI200,-0.547867600
2008-03-08,매운맛,-0.41113400
2008-03-08,KOSPI200,-0.547867600
2008-03-10,매운맛,-0.508056600
2008-03-10,KOSPI200,-2.5693100
2008-03-11,매운맛,-0.357600100
2008-03-11,KOSPI200,-1.733339600
2008-03-12,매운맛,-0.148706400
2008-03-12,KOSPI200,-0.585651500
2008-03-13,매운맛,0.164099300
2008-03-13,KOSPI200,-3.452510300
2008-03-14,매운맛,0.32272400
2008-03-14,KOSPI200,-4.297926600
2008-03-15,매운맛,0.324035500
2008-03-15,KOSPI200,-4.297926600
2008-03-17,매운맛,0.315616700
2008-03-17,KOSPI200,-5.691210500
2008-03-18,매운맛,0.596158900
2008-03-18,KOSPI200,-4.694658300
2008-03-19,매운맛,-1.177716600
2008-03-19,KOSPI200,-2.47957300
2008-03-20,매운맛,-1.914349200
2008-03-20,KOSPI200,-2.413451100
2008-03-21,매운맛,-1.910020100
2008-03-21,KOSPI200,-0.963491200
2008-03-22,매운맛,-1.90838800
2008-03-22,KOSPI200,-0.963491200
2008-03-24,매운맛,-1.957261600
2008-03-24,KOSPI200,-0.344778700
2008-03-25,매운맛,-1.434691400
2008-03-25,KOSPI200,0.944599300
2008-03-26,매운맛,-1.021891700
2008-03-26,KOSPI200,1.26576300
2008-03-27,매운맛,-1.021797200
2008-03-27,KOSPI200,1.001275200
2008-03-28,매운맛,-1.561420400
2008-03-28,KOSPI200,2.59292500
2008-03-29,매운맛,-1.559788400
2008-03-29,KOSPI200,2.59292500
2008-03-31,매운맛,-2.007530600
2008-03-31,KOSPI200,2.796013800
2008-04-01,매운맛,-3.088432500
2008-04-01,KOSPI200,2.871581700
2008-04-02,매운맛,-2.640811300
2008-04-02,KOSPI200,5.681764500
2008-04-03,매운맛,-2.302479900
2008-04-03,KOSPI200,7.207292300
2008-04-04,매운맛,-2.090525800
2008-04-04,KOSPI200,7.188400300
2008-04-05,매운맛,-2.088924700
2008-04-05,KOSPI200,7.188400300
2008-04-07,매운맛,-1.608593400
2008-04-07,KOSPI200,7.58513200
2008-04-08,매운맛,-1.839939500
2008-04-08,KOSPI200,6.31464600
2008-04-09,매운맛,-1.167927500
2008-04-09,KOSPI200,6.31464600
2008-04-10,매운맛,-1.283613100
2008-04-10,KOSPI200,6.947527500
2008-04-11,매운맛,-1.392404700
2008-04-11,KOSPI200,8.062154600
2008-04-12,매운맛,-1.391118200
2008-04-12,KOSPI200,8.062154600
2008-04-14,매운맛,-1.324250200
2008-04-14,KOSPI200,6.050158200
2008-04-15,매운맛,-1.209381900
2008-04-15,KOSPI200,5.563689600
2008-04-16,매운맛,-0.678434600
2008-04-16,KOSPI200,6.437443900
2008-04-17,매운맛,-0.906629400
2008-04-17,KOSPI200,7.202569300
2008-04-18,매운맛,-1.835289700
2008-04-18,KOSPI200,7.330090200
2008-04-19,매운맛,-1.834003300
2008-04-19,KOSPI200,7.330090200
2008-04-21,매운맛,-1.769051500
2008-04-21,KOSPI200,9.153166800
2008-04-22,매운맛,-1.541471400
2008-04-22,KOSPI200,8.260520500
2008-04-23,매운맛,-2.058080800
2008-04-23,KOSPI200,8.89340200
2008-04-24,매운맛,-2.736707400
2008-04-24,KOSPI200,8.992584900
2008-04-25,매운맛,-2.787501100
2008-04-25,KOSPI200,10.782600500
2008-04-26,매운맛,-2.786214600
2008-04-26,KOSPI200,10.782600500
2008-04-28,매운맛,-2.554289400
2008-04-28,KOSPI200,10.976243300
2008-04-29,매운맛,-3.08544900
2008-04-29,KOSPI200,10.15916500
2008-04-30,매운맛,-3.453864900
2008-04-30,KOSPI200,10.990412300
2008-05-01,매운맛,-3.716267800
2008-05-01,KOSPI200,10.990412300
2008-05-02,매운맛,-3.493557700
2008-05-02,KOSPI200,12.492325100
2008-05-03,매운맛,-3.492301400
2008-05-03,KOSPI200,12.492325100
2008-05-05,매운맛,-2.954019800
2008-05-05,KOSPI200,12.492325100
2008-05-06,매운맛,-2.841050800
2008-05-06,KOSPI200,13.129929600
2008-05-07,매운맛,-3.107306300
2008-05-07,KOSPI200,12.71902900
2008-05-08,매운맛,-2.793693400
2008-05-08,KOSPI200,12.109762400
2008-05-09,매운맛,-2.673248800
2008-05-09,KOSPI200,10.508666700
2008-05-10,매운맛,-2.671992500
2008-05-10,KOSPI200,10.508666700
2008-05-12,매운맛,-2.691890600
2008-05-12,KOSPI200,10.508666700
2008-05-13,매운맛,-3.27889900
2008-05-13,KOSPI200,11.944457600
2008-05-14,매운맛,-3.411661500
2008-05-14,KOSPI200,11.953903600
2008-05-15,매운맛,-2.907564700
2008-05-15,KOSPI200,14.820762300
2008-05-16,매운맛,-2.133838400
2008-05-16,KOSPI200,15.023851100
2008-05-17,매운맛,-2.132582100
2008-05-17,KOSPI200,15.023851100
2008-05-19,매운맛,-1.935062200
2008-05-19,KOSPI200,14.612950500
2008-05-20,매운맛,-1.395175400
2008-05-20,KOSPI200,13.644736200
2008-05-21,매운맛,-1.090325700
2008-05-21,KOSPI200,12.005856500
2008-05-22,매운맛,-1.512839900
2008-05-22,KOSPI200,11.136825200
2008-05-23,매운맛,-1.267696700
2008-05-23,KOSPI200,10.584234600
2008-05-24,매운맛,-1.266440400
2008-05-24,KOSPI200,10.584234600
2008-05-26,매운맛,-1.267271100
2008-05-26,KOSPI200,8.83200300
2008-05-27,매운맛,-1.898447100
2008-05-27,KOSPI200,10.503943700
2008-05-28,매운맛,-2.208758900
2008-05-28,KOSPI200,9.181504700
2008-05-29,매운맛,-3.042923500
2008-05-29,KOSPI200,11.646908800
2008-05-30,매운맛,-2.717343900
2008-05-30,KOSPI200,12.152269400
2008-05-31,매운맛,-2.71606700
2008-05-31,KOSPI200,12.152269400
2008-06-02,매운맛,-2.489573300
2008-06-02,KOSPI200,11.831105700
2008-06-03,매운맛,-2.767814600
2008-06-03,KOSPI200,10.11193500
2008-06-04,매운맛,-2.850903100
2008-06-04,KOSPI200,11.032919300
2008-06-05,매운맛,-3.052542800
2008-06-05,KOSPI200,10.877060400
2008-06-06,매운맛,-2.210590100
2008-06-06,KOSPI200,10.877060400
