date,name,value
2008-03-03,maeun,0
2008-03-03,KS200,0
2008-03-04,maeun,-0.005452399
2008-03-04,KS200,0.001936428
2008-03-05,maeun,0.00163718
2008-03-05,KS200,0.001936428
2008-03-06,maeun,-0.002406012
2008-03-06,KS200,0.015066358
2008-03-07,maeun,-0.004140746
2008-03-07,KS200,-0.005478676
2008-03-08,maeun,-0.004127631
2008-03-08,KS200,-0.005478676
2008-03-10,maeun,-0.005100967
2008-03-10,KS200,-0.0256931
2008-03-11,maeun,-0.003600511
2008-03-11,KS200,-0.017333396
2008-03-12,maeun,-0.001515676
2008-03-12,KS200,-0.005856515
2008-03-13,maeun,0.001608287
2008-03-13,KS200,-0.034525103
2008-03-14,maeun,0.003190441
2008-03-14,KS200,-0.042979266
2008-03-15,maeun,0.003203556
2008-03-15,KS200,-0.042979266
2008-03-17,maeun,0.003115274
2008-03-17,KS200,-0.056912105
2008-03-18,maeun,0.005916619
2008-03-18,KS200,-0.046946583
2008-03-19,maeun,-0.011826238
2008-03-19,KS200,-0.02479573
2008-03-20,maeun,-0.019196634
2008-03-20,KS200,-0.024134511
2008-03-21,maeun,-0.019157436
2008-03-21,KS200,-0.009634912
2008-03-22,maeun,-0.019141116
2008-03-22,KS200,-0.009634912
2008-03-24,maeun,-0.019633945
2008-03-24,KS200,-0.003447787
2008-03-25,maeun,-0.014412329
2008-03-25,KS200,0.009445993
2008-03-26,maeun,-0.010288417
2008-03-26,KS200,0.01265763
2008-03-27,maeun,-0.010291534
2008-03-27,KS200,0.010012752
2008-03-28,maeun,-0.015691827
2008-03-28,KS200,0.02592925
2008-03-29,maeun,-0.015675507
2008-03-29,KS200,0.02592925
2008-03-31,maeun,-0.020157007
2008-03-31,KS200,0.027960138
2008-04-01,maeun,-0.030969136
2008-04-01,KS200,0.028715817
2008-04-02,maeun,-0.026497299
2008-04-02,KS200,0.056817645
2008-04-03,maeun,-0.023118294
2008-04-03,KS200,0.072072923
2008-04-04,maeun,-0.021002956
2008-04-04,KS200,0.071884003
2008-04-05,maeun,-0.020986947
2008-04-05,KS200,0.071884003
2008-04-07,maeun,-0.016188142
2008-04-07,KS200,0.07585132
2008-04-08,maeun,-0.01850547
2008-04-08,KS200,0.06314646
2008-04-09,maeun,-0.011789961
2008-04-09,KS200,0.06314646
2008-04-10,maeun,-0.012946721
2008-04-10,KS200,0.069475275
2008-04-11,maeun,-0.014038557
2008-04-11,KS200,0.080621546
2008-04-12,maeun,-0.014025693
2008-04-12,KS200,0.080621546
2008-04-14,maeun,-0.01336108
2008-04-14,KS200,0.060501582
2008-04-15,maeun,-0.012216519
2008-04-15,KS200,0.055636896
2008-04-16,maeun,-0.006911517
2008-04-16,KS200,0.064374439
2008-04-17,maeun,-0.009197302
2008-04-17,KS200,0.072025693
2008-04-18,maeun,-0.018487159
2008-04-18,KS200,0.073300902
2008-04-19,maeun,-0.018474295
2008-04-19,KS200,0.073300902
2008-04-21,maeun,-0.017828859
2008-04-21,KS200,0.091531668
2008-04-22,maeun,-0.015557251
2008-04-22,KS200,0.082605205
2008-04-23,maeun,-0.020726925
2008-04-23,KS200,0.08893402
2008-04-24,maeun,-0.027516638
2008-04-24,KS200,0.089925849
2008-04-25,maeun,-0.028028559
2008-04-25,KS200,0.107826005
2008-04-26,maeun,-0.028015696
2008-04-26,KS200,0.107826005
2008-04-28,maeun,-0.025700632
2008-04-28,KS200,0.109762433
2008-04-29,maeun,-0.031015725
2008-04-29,KS200,0.10159165
2008-04-30,maeun,-0.034703516
2008-04-30,KS200,0.109904123
2008-05-01,maeun,-0.037331025
2008-05-01,KS200,0.109904123
2008-05-02,maeun,-0.035104304
2008-05-02,KS200,0.124923251
2008-05-03,maeun,-0.035091743
2008-05-03,KS200,0.124923251
2008-05-05,maeun,-0.029713781
2008-05-05,KS200,0.124923251
2008-05-06,maeun,-0.028584284
2008-05-06,KS200,0.131299296
2008-05-07,maeun,-0.031250503
2008-05-07,KS200,0.12719029
2008-05-08,maeun,-0.028119019
2008-05-08,KS200,0.121097624
2008-05-09,maeun,-0.026918754
2008-05-09,KS200,0.105086667
2008-05-10,maeun,-0.026906193
2008-05-10,KS200,0.105086667
2008-05-12,maeun,-0.027109115
2008-05-12,KS200,0.105086667
2008-05-13,maeun,-0.032978196
2008-05-13,KS200,0.119444576
2008-05-14,maeun,-0.034309506
2008-05-14,KS200,0.119539036
2008-05-15,maeun,-0.029273264
2008-05-15,KS200,0.148207623
2008-05-16,maeun,-0.02154121
2008-05-16,KS200,0.150238511
2008-05-17,maeun,-0.021528649
2008-05-17,KS200,0.150238511
2008-05-19,maeun,-0.019557715
2008-05-19,KS200,0.146129505
2008-05-20,maeun,-0.014163681
2008-05-20,KS200,0.136447362
2008-05-21,maeun,-0.011119379
2008-05-21,KS200,0.120058565
2008-05-22,maeun,-0.015347465
2008-05-22,KS200,0.111368252
2008-05-23,maeun,-0.01290042
2008-05-23,KS200,0.105842346
2008-05-24,maeun,-0.012887859
2008-05-24,KS200,0.105842346
2008-05-26,maeun,-0.012900131
2008-05-26,KS200,0.08832003
2008-05-27,maeun,-0.019214782
2008-05-27,KS200,0.105039437
2008-05-28,maeun,-0.022321346
2008-05-28,KS200,0.091815047
2008-05-29,maeun,-0.030665559
2008-05-29,KS200,0.116469088
2008-05-30,maeun,-0.02741431
2008-05-30,KS200,0.121522694
2008-05-31,maeun,-0.027401544
2008-05-31,KS200,0.121522694
2008-06-02,maeun,-0.025140554
2008-06-02,KS200,0.118311057
2008-06-03,maeun,-0.027920846
2008-06-03,KS200,0.10111935
2008-06-04,maeun,-0.028751504
2008-06-04,KS200,0.110329193
2008-06-05,maeun,-0.030764333
2008-06-05,KS200,0.108770604
2008-06-06,maeun,-0.022350154
2008-06-06,KS200,0.108770604
2008-06-07,maeun,-0.022334255
2008-06-07,KS200,0.108770604
2008-06-09,maeun,-0.023491932
2008-06-09,KS200,0.092665187
2008-06-10,maeun,-0.034263299
2008-06-10,KS200,0.070042035
2008-06-11,maeun,-0.030460706
2008-06-11,KS200,0.074103811
2008-06-12,maeun,-0.035643158
2008-06-12,KS200,0.044585085
2008-06-13,maeun,-0.035883477
2008-06-13,KS200,0.052236339
2008-06-14,maeun,-0.035867577
2008-06-14,KS200,0.052236339
2008-06-16,maeun,-0.031626983
2008-06-16,KS200,0.062249091
2008-06-17,maeun,-0.030668792
2008-06-17,KS200,0.056345345
2008-06-18,maeun,-0.02833522
2008-06-18,KS200,0.070230955
2008-06-19,maeun,-0.026214141
2008-06-19,KS200,0.048646862
2008-06-20,maeun,-0.02770702
2008-06-20,KS200,0.041751287
2008-06-21,maeun,-0.027691121
2008-06-21,KS200,0.041751287
2008-06-23,maeun,-0.034700805
2008-06-23,KS200,0.032021915
2008-06-24,maeun,-0.035280383
2008-06-24,KS200,0.029471497
2008-06-25,maeun,-0.038755191
2008-06-25,KS200,0.034100033
2008-06-26,maeun,-0.030736734
2008-06-26,KS200,0.034902942
2008-06-27,maeun,-0.026676196
2008-06-27,KS200,0.013507769
2008-06-28,maeun,-0.026660297
2008-06-28,KS200,0.013507769
2008-06-30,maeun,-0.027806463
2008-06-30,KS200,0.008454163
2008-07-01,maeun,-0.024368065
2008-07-01,KS200,0.006092665
2008-07-02,maeun,-0.024154599
2008-07-02,KS200,-0.017805696
2008-07-03,maeun,-0.028885096
2008-07-03,KS200,-0.028432438
2008-07-04,maeun,-0.02885312
2008-07-04,KS200,-0.047182733
2008-07-05,maeun,-0.028833877
2008-07-05,KS200,-0.047182733
2008-07-07,maeun,-0.03048303
2008-07-07,KS200,-0.044348935
2008-07-08,maeun,-0.032557212
2008-07-08,KS200,-0.071836773
2008-07-09,maeun,-0.028920154
2008-07-09,KS200,-0.080857696
2008-07-10,maeun,-0.025459184
2008-07-10,KS200,-0.072686913
2008-07-11,maeun,-0.021963059
2008-07-11,KS200,-0.054833987
2008-07-12,maeun,-0.021947071
