"date","portfolio_name","value"
"2017-01-02","순한맛",0
"2017-01-03","순한맛",0
"2017-01-04","순한맛",0
"2017-01-05","순한맛",0
"2017-01-06","순한맛",0
"2017-01-09","순한맛",-0.0915
"2017-01-10","순한맛",0
"2017-01-11","순한맛",-0.1
"2017-01-12","순한맛",-0.1221
"2017-01-13","순한맛",-0.0603
"2017-01-16","순한맛",-0.0081
"2017-01-17","순한맛",-0.1411
"2017-01-18","순한맛",-0.2605
"2017-01-19","순한맛",-0.2574
"2017-01-20","순한맛",-0.2562
"2017-01-23","순한맛",-0.1852
"2017-01-24","순한맛",-0.2541
"2017-01-25","순한맛",-0.1787
"2017-01-26","순한맛",-0.0591
"2017-01-31","순한맛",0
"2017-02-01","순한맛",-0.2826
"2017-02-02","순한맛",-0.2345
"2017-02-03","순한맛",-0.2431
"2017-02-06","순한맛",-0.1692
"2017-02-07","순한맛",-0.1186
"2017-02-08","순한맛",-0.1123
"2017-02-09","순한맛",-0.101
"2017-02-10","순한맛",-0.0958
"2017-02-13","순한맛",0
"2017-02-14","순한맛",0
"2017-02-15","순한맛",-0.0184
"2017-02-16","순한맛",0
"2017-02-17","순한맛",0
"2017-02-20","순한맛",-0.0182
"2017-02-21","순한맛",0
"2017-02-22","순한맛",0
"2017-02-23","순한맛",0
"2017-02-24","순한맛",0
"2017-02-27","순한맛",-0.0595
"2017-02-28","순한맛",-0.093
"2017-03-02","순한맛",-0.0836
"2017-03-03","순한맛",0
"2017-03-06","순한맛",-0.1511
"2017-03-07","순한맛",-0.2041
"2017-03-08","순한맛",-0.374
"2017-03-09","순한맛",-0.3551
"2017-03-10","순한맛",-0.4578
"2017-03-13","순한맛",-0.4076
"2017-03-14","순한맛",-0.21
"2017-03-15","순한맛",-0.1238
"2017-03-16","순한맛",-0.1411
"2017-03-17","순한맛",0
"2017-03-20","순한맛",0
"2017-03-21","순한맛",-0.1609
"2017-03-22","순한맛",-0.0115
"2017-03-23","순한맛",-0.1791
"2017-03-24","순한맛",-0.1938
"2017-03-27","순한맛",-0.2826
"2017-03-28","순한맛",-0.244
"2017-03-29","순한맛",-0.2539
"2017-03-30","순한맛",-0.1565
"2017-03-31","순한맛",-0.1459
"2017-04-03","순한맛",-0.126
"2017-04-04","순한맛",-0.1007
"2017-04-05","순한맛",-0.0446
"2017-04-06","순한맛",-0.0663
"2017-04-07","순한맛",-0.2502
"2017-04-10","순한맛",-0.2305
"2017-04-11","순한맛",-0.4378
"2017-04-12","순한맛",-0.4059
"2017-04-13","순한맛",-0.3696
"2017-04-14","순한맛",-0.3145
"2017-04-17","순한맛",-0.4859
"2017-04-18","순한맛",-0.4291
"2017-04-19","순한맛",-0.299
"2017-04-20","순한맛",-0.3509
"2017-04-21","순한맛",-0.3247
"2017-04-24","순한맛",-0.1117
"2017-04-25","순한맛",-0.0028
"2017-04-26","순한맛",0
"2017-04-27","순한맛",0
"2017-04-28","순한맛",0
"2017-05-02","순한맛",-0.0066
"2017-05-04","순한맛",0
"2017-05-08","순한맛",0
"2017-05-10","순한맛",0
"2017-05-11","순한맛",-0.206
"2017-05-12","순한맛",-0.0671
"2017-05-15","순한맛",-0.0908
"2017-05-16","순한맛",-0.0915
"2017-05-17","순한맛",-0.0138
"2017-05-18","순한맛",0
"2017-05-19","순한맛",-0.1951
"2017-05-22","순한맛",-0.2145
"2017-05-23","순한맛",-0.1154
"2017-05-24","순한맛",0
"2017-05-25","순한맛",0
"2017-05-26","순한맛",0
"2017-05-29","순한맛",0
"2017-05-30","순한맛",0
"2017-05-31","순한맛",-0.0102
"2017-06-01","순한맛",-0.084
