"date","portfolio_name","value"
"2017-01-02","순한맛",0
"2017-01-03","순한맛",0
"2017-01-04","순한맛",0.0416
"2017-01-05","순한맛",0.3458
"2017-01-06","순한맛",0.4492
"2017-01-09","순한맛",0.3573
"2017-01-10","순한맛",0.4647
"2017-01-11","순한맛",0.3642
"2017-01-12","순한맛",0.342
"2017-01-13","순한맛",0.4041
"2017-01-16","순한맛",0.4566
"2017-01-17","순한맛",0.3229
"2017-01-18","순한맛",0.203
"2017-01-19","순한맛",0.2061
"2017-01-20","순한맛",0.2073
"2017-01-23","순한맛",0.2786
"2017-01-24","순한맛",0.2094
"2017-01-25","순한맛",0.2852
"2017-01-26","순한맛",0.4053
"2017-01-31","순한맛",0.5718
"2017-02-01","순한맛",0.2876
"2017-02-02","순한맛",0.336
"2017-02-03","순한맛",0.3273
"2017-02-06","순한맛",0.4016
"2017-02-07","순한맛",0.4525
"2017-02-08","순한맛",0.4589
"2017-02-09","순한맛",0.4702
"2017-02-10","순한맛",0.4755
"2017-02-13","순한맛",0.5896
"2017-02-14","순한맛",0.7037
"2017-02-15","순한맛",0.6852
"2017-02-16","순한맛",0.8215
"2017-02-17","순한맛",0.8382
"2017-02-20","순한맛",0.8198
"2017-02-21","순한맛",0.8585
"2017-02-22","순한맛",0.9527
"2017-02-23","순한맛",1.087
"2017-02-24","순한맛",1.1224
"2017-02-27","순한맛",1.0622
"2017-02-28","순한맛",1.0284
"2017-03-02","순한맛",1.0379
"2017-03-03","순한맛",1.2569
"2017-03-06","순한맛",1.1039
"2017-03-07","순한맛",1.0502
"2017-03-08","순한맛",0.8782
"2017-03-09","순한맛",0.8973
"2017-03-10","순한맛",0.7933
"2017-03-13","순한맛",0.8442
"2017-03-14","순한맛",1.0443
"2017-03-15","순한맛",1.1315
"2017-03-16","순한맛",1.114
"2017-03-17","순한맛",1.5199
"2017-03-20","순한맛",1.7083
"2017-03-21","순한맛",1.5447
"2017-03-22","순한맛",1.6966
"2017-03-23","순한맛",1.5261
"2017-03-24","순한맛",1.5112
"2017-03-27","순한맛",1.4209
"2017-03-28","순한맛",1.4601
"2017-03-29","순한맛",1.4501
"2017-03-30","순한맛",1.5491
"2017-03-31","순한맛",1.5599
"2017-04-03","순한맛",1.5801
"2017-04-04","순한맛",1.6059
"2017-04-05","순한맛",1.6629
"2017-04-06","순한맛",1.6409
"2017-04-07","순한맛",1.4538
"2017-04-10","순한맛",1.4739
"2017-04-11","순한맛",1.263
"2017-04-12","순한맛",1.2955
"2017-04-13","순한맛",1.3324
"2017-04-14","순한맛",1.3884
"2017-04-17","순한맛",1.2141
"2017-04-18","순한맛",1.2719
"2017-04-19","순한맛",1.4042
"2017-04-20","순한맛",1.3514
"2017-04-21","순한맛",1.3781
"2017-04-24","순한맛",1.5947
"2017-04-25","순한맛",1.7055
"2017-04-26","순한맛",2.0578
"2017-04-27","순한맛",2.2674
"2017-04-28","순한맛",2.3001
"2017-05-02","순한맛",2.2933
"2017-05-04","순한맛",2.4449
"2017-05-08","순한맛",2.5857
"2017-05-10","순한맛",2.8689
"2017-05-11","순한맛",2.657
"2017-05-12","순한맛",2.7999
"2017-05-15","순한맛",2.7755
"2017-05-16","순한맛",2.7748
"2017-05-17","순한맛",2.8547
"2017-05-18","순한맛",2.9655
"2017-05-19","순한맛",2.7646
"2017-05-22","순한맛",2.7446
"2017-05-23","순한맛",2.8467
"2017-05-24","순한맛",2.9801
"2017-05-25","순한맛",2.9929
"2017-05-26","순한맛",3.2666
"2017-05-29","순한맛",3.4072
"2017-05-30","순한맛",3.4137
"2017-05-31","순한맛",3.4032
