date,index,contribution
2017-01-02,매운맛,0
2017-01-03,매운맛,0
2017-01-04,매운맛,0.2076
2017-01-05,매운맛,1.1165
2017-01-06,매운맛,1.1511
2017-01-09,매운맛,1.1418
2017-01-10,매운맛,1.6271
2017-01-11,매운맛,1.0269
2017-01-12,매운맛,1.1104
2017-01-13,매운맛,0.8098
2017-01-16,매운맛,1.0207
2017-01-17,매운맛,0.8413
2017-01-18,매운맛,0.3812
2017-01-19,매운맛,0.528
2017-01-20,매운맛,0.7985
2017-01-23,매운맛,0.7546
2017-01-24,매운맛,0.4514
2017-01-25,매운맛,0.4759
2017-01-26,매운맛,1.0245
2017-01-31,매운맛,1.898
2017-02-01,매운맛,0.8383
2017-02-02,매운맛,1.0846
2017-02-03,매운맛,1.0972
2017-02-06,매운맛,1.301
2017-02-07,매운맛,1.4109
2017-02-08,매운맛,1.3994
2017-02-09,매운맛,1.4195
2017-02-10,매운맛,1.4451
2017-02-13,매운맛,1.7527
2017-02-14,매운맛,2.0926
2017-02-15,매운맛,2.0127
2017-02-16,매운맛,2.4268
2017-02-17,매운맛,2.4646
2017-02-20,매운맛,2.3772
2017-02-21,매운맛,2.4971
2017-02-22,매운맛,2.7607
2017-02-23,매운맛,3.1899
2017-02-24,매운맛,3.2383
2017-02-27,매운맛,3.0379
2017-02-28,매운맛,2.9386
2017-03-02,매운맛,2.9562
2017-03-03,매운맛,3.6379
2017-03-06,매운맛,3.1356
2017-03-07,매운맛,3.2142
2017-03-08,매운맛,3.2064
2017-03-09,매운맛,3.0912
2017-03-10,매운맛,2.8858
2017-03-13,매운맛,2.8517
2017-03-14,매운맛,3.3435
2017-03-15,매운맛,3.6278
2017-03-16,매운맛,3.4064
2017-03-17,매운맛,4.0445
2017-03-20,매운맛,4.4718
2017-03-21,매운맛,4.1643
2017-03-22,매운맛,4.6126
2017-03-23,매운맛,3.9415
2017-03-24,매운맛,3.9408
2017-03-27,매운맛,3.8644
2017-03-28,매운맛,3.9015
2017-03-29,매운맛,3.8865
2017-03-30,매운맛,4.1313
2017-03-31,매운맛,4.2875
2017-04-03,매운맛,4.3612
2017-04-04,매운맛,4.2217
2017-04-05,매운맛,4.1505
2017-04-06,매운맛,3.9731
2017-04-07,매운맛,3.6905
2017-04-10,매운맛,3.7375
2017-04-11,매운맛,3.4814
2017-04-12,매운맛,3.3093
2017-04-13,매운맛,3.3614
2017-04-14,매운맛,3.3207
2017-04-17,매운맛,2.8051
2017-04-18,매운맛,2.9207
2017-04-19,매운맛,3.3316
2017-04-20,매운맛,3.0652
2017-04-21,매운맛,3.1845
2017-04-24,매운맛,3.9812
2017-04-25,매운맛,4.5362
2017-04-26,매운맛,5.5016
2017-04-27,매운맛,6.1716
2017-04-28,매운맛,6.2018
2017-05-02,매운맛,6.1159
2017-05-04,매운맛,6.5781
2017-05-08,매운맛,6.8464
2017-05-10,매운맛,7.8498
2017-05-11,매운맛,7.5451
2017-05-12,매운맛,7.941
2017-05-15,매운맛,7.7434
2017-05-16,매운맛,7.789
2017-05-17,매운맛,8.0327
2017-05-18,매운맛,8.0029
2017-05-19,매운맛,7.3597
2017-05-22,매운맛,7.1636
2017-05-23,매운맛,7.7316
2017-05-24,매운맛,8.0219
2017-05-25,매운맛,8.1667
2017-05-26,매운맛,8.8323
2017-05-29,매운맛,9.197
2017-05-30,매운맛,9.2108
2017-05-31,매운맛,9.0185
2017-06-01,매운맛,8.8588
2017-06-02,매운맛,8.7082
2017-06-05,매운맛,9.4125
2017-06-07,매운맛,9.5459
2017-06-08,매운맛,9.276
2017-06-09,매운맛,9.2949
2017-06-12,매운맛,9.5859
2017-06-13,매운맛,9.1981
2017-06-14,매운맛,9.3781
2017-06-15,매운맛,9.5327
2017-06-16,매운맛,9.4104
2017-06-19,매운맛,9.3385
2017-06-20,매운맛,9.5315
2017-06-21,매운맛,9.8381
2017-06-22,매운맛,9.4165
2017-06-23,매운맛,9.5409
2017-06-26,매운맛,9.6239
2017-06-27,매운맛,9.8529
2017-06-28,매운맛,10.0963
2017-06-29,매운맛,9.5963
2017-06-30,매운맛,10.0831
2017-07-03,매운맛,9.7482
2017-07-04,매운맛,9.8263
2017-07-05,매운맛,9.6475
2017-07-06,매운맛,9.7977
2017-07-07,매운맛,9.8268
2017-07-10,매운맛,9.3504
2017-07-11,매운맛,9.6027
2017-07-12,매운맛,9.9003
2017-07-13,매운맛,9.9147
2017-07-14,매운맛,10.561
2017-07-17,매운맛,10.749
2017-07-18,매운맛,11.0828
2017-07-19,매운맛,11.1682
2017-07-20,매운맛,11.2108
2017-07-21,매운맛,11.6497
