index,date,drawdown,drawdown
boolio,2017-01-03,0,0
boolio,2017-01-04,0,0
boolio,2017-01-05,0,0
boolio,2017-01-06,0,0
boolio,2017-01-07,0,0
boolio,2017-01-09,-9.19E-05,-0.009194166
boolio,2017-01-10,0,0
boolio,2017-01-11,-0.005905905,-0.590590502
boolio,2017-01-12,-0.005084274,-0.508427378
boolio,2017-01-13,-0.008042146,-0.804214624
boolio,2017-01-14,-0.008042146,-0.804214624
boolio,2017-01-16,-0.005966912,-0.596691237
boolio,2017-01-17,-0.00773219,-0.773218954
boolio,2017-01-18,-0.012259525,-1.225952526
boolio,2017-01-19,-0.010815029,-1.081502867
boolio,2017-01-20,-0.008153337,-0.815333705
boolio,2017-01-21,-0.008153337,-0.815333705
boolio,2017-01-23,-0.008585308,-0.858530845
boolio,2017-01-24,-0.011568765,-1.156876463
boolio,2017-01-25,-0.011327687,-1.13276872
boolio,2017-01-26,-0.005929521,-0.592952077
boolio,2017-01-27,-0.005929521,-0.592952077
boolio,2017-01-28,-0.005929521,-0.592952077
boolio,2017-01-30,-0.005929521,-0.592952077
boolio,2017-01-31,0,0
boolio,2017-02-01,-0.010399615,-1.03996153
boolio,2017-02-02,-0.007982492,-0.79824923
boolio,2017-02-03,-0.007858839,-0.785883923
boolio,2017-02-04,-0.007858839,-0.785883923
boolio,2017-02-06,-0.0058588,-0.585879998
boolio,2017-02-07,-0.00478027,-0.478027047
boolio,2017-02-08,-0.004893128,-0.489312842
boolio,2017-02-09,-0.004695872,-0.469587234
boolio,2017-02-10,-0.004444641,-0.444464072
boolio,2017-02-11,-0.004444641,-0.444464072
boolio,2017-02-13,-0.001425936,-0.142593574
boolio,2017-02-14,0,0
boolio,2017-02-15,-0.000782623,-0.078262283
boolio,2017-02-16,0,0
boolio,2017-02-17,0,0
boolio,2017-02-18,0,0
boolio,2017-02-20,-0.000852978,-0.085297752
boolio,2017-02-21,0,0
boolio,2017-02-22,0,0
boolio,2017-02-23,0,0
boolio,2017-02-24,0,0
boolio,2017-02-25,0,0
boolio,2017-02-27,-0.00194114,-0.194114006
boolio,2017-02-28,-0.002902992,-0.29029924
boolio,2017-03-01,-0.002902992,-0.29029924
boolio,2017-03-02,-0.002732513,-0.273251303
boolio,2017-03-03,0,0
boolio,2017-03-04,0,0
boolio,2017-03-06,-0.004846683,-0.484668254
boolio,2017-03-07,-0.004088273,-0.408827273
boolio,2017-03-08,-0.004163535,-0.416353477
boolio,2017-03-09,-0.005275097,-0.527509724
boolio,2017-03-10,-0.007256998,-0.725699768
boolio,2017-03-11,-0.007256998,-0.725699768
boolio,2017-03-13,-0.007586028,-0.758602789
boolio,2017-03-14,-0.00284066,-0.284065964
boolio,2017-03-15,-9.75E-05,-0.00974547
boolio,2017-03-16,-0.002233739,-0.223373882
boolio,2017-03-17,0,0
boolio,2017-03-18,0,0
boolio,2017-03-20,0,0
boolio,2017-03-21,-0.002943378,-0.294337802
boolio,2017-03-22,0,0
boolio,2017-03-23,-0.006415097,-0.641509723
boolio,2017-03-24,-0.006421789,-0.642178858
boolio,2017-03-25,-0.006421789,-0.642178858
boolio,2017-03-27,-0.007152102,-0.715210214
boolio,2017-03-28,-0.00679746,-0.679746034
boolio,2017-03-29,-0.006940847,-0.694084651
boolio,2017-03-30,-0.004600784,-0.460078423
boolio,2017-03-31,-0.003107656,-0.310765625
boolio,2017-04-01,-0.003107656,-0.310765625
boolio,2017-04-03,-0.002403152,-0.24031522
boolio,2017-04-04,-0.003736644,-0.373664358
boolio,2017-04-05,-0.00441725,-0.441724993
boolio,2017-04-06,-0.00611303,-0.611303036
boolio,2017-04-07,-0.008814426,-0.88144258
boolio,2017-04-08,-0.008814426,-0.88144258
boolio,2017-04-10,-0.008365149,-0.836514913
boolio,2017-04-11,-0.010813229,-1.0813229
boolio,2017-04-12,-0.012458346,-1.245834632
boolio,2017-04-13,-0.011960318,-1.196031836
boolio,2017-04-14,-0.012349373,-1.234937283
boolio,2017-04-15,-0.012349373,-1.234937283
boolio,2017-04-17,-0.017278033,-1.727803343
boolio,2017-04-18,-0.016173004,-1.617300402
boolio,2017-04-19,-0.012245179,-1.224517888
boolio,2017-04-20,-0.014791717,-1.479171725
boolio,2017-04-21,-0.013651319,-1.365131925
boolio,2017-04-22,-0.013651319,-1.365131925
boolio,2017-04-24,-0.006035602,-0.603560183
boolio,2017-04-25,-0.000730314,-0.073031356
boolio,2017-04-26,0,0
boolio,2017-04-27,0,0
boolio,2017-04-28,0,0
boolio,2017-04-29,0,0
boolio,2017-05-01,0,0
boolio,2017-05-02,-0.000808838,-0.080883751
boolio,2017-05-03,-0.000808838,-0.080883751
boolio,2017-05-04,0,0
boolio,2017-05-05,0,0
boolio,2017-05-06,0,0
boolio,2017-05-08,0,0
boolio,2017-05-09,0,0
boolio,2017-05-10,0,0
boolio,2017-05-11,-0.002825225,-0.282522545
boolio,2017-05-12,0,0
boolio,2017-05-13,0,0
boolio,2017-05-15,-0.00183063,-0.18306297
boolio,2017-05-16,-0.001408177,-0.140817669
boolio,2017-05-17,0,0
boolio,2017-05-18,-0.000275842,-0.027584241
boolio,2017-05-19,-0.006229595,-0.62295953
boolio,2017-05-20,-0.006229595,-0.62295953
boolio,2017-05-22,-0.008044786,-0.804478644
boolio,2017-05-23,-0.002787119,-0.278711909
boolio,2017-05-24,-1.00E-04,-0.009996973
boolio,2017-05-25,0,0
boolio,2017-05-26,0,0
boolio,2017-05-27,0,0
boolio,2017-05-29,0,0
boolio,2017-05-30,0,0
boolio,2017-05-31,-0.001760815,-0.176081486
boolio,2017-06-01,-0.003223124,-0.322312445
boolio,2017-06-02,-0.004602109,-0.460210895
boolio,2017-06-03,-0.004602109,-0.460210895
boolio,2017-06-05,0,0
boolio,2017-06-06,0,0
boolio,2017-06-07,0,0
boolio,2017-06-08,-0.002463807,-0.246380741
boolio,2017-06-09,-0.002291277,-0.229127699
boolio,2017-06-10,-0.002291277,-0.229127699
boolio,2017-06-12,0,0
boolio,2017-06-13,-0.003538776,-0.353877643
boolio,2017-06-14,-0.001896229,-0.189622935
boolio,2017-06-15,-0.000485464,-0.048546391
boolio,2017-06-16,-0.001601483,-0.16014834
boolio,2017-06-17,-0.001601483,-0.16014834
boolio,2017-06-19,-0.00225759,-0.225758971
boolio,2017-06-20,-0.000496414,-0.049641423
boolio,2017-06-21,0,0
boolio,2017-06-22,-0.003838377,-0.383837667
boolio,2017-06-23,-0.002705801,-0.270580063
boolio,2017-06-24,-0.002705801,-0.270580063
boolio,2017-06-26,-0.001950143,-0.195014298
boolio,2017-06-27,0,0
boolio,2017-06-28,0,0
boolio,2017-06-29,-0.004541479,-0.454147869
boolio,2017-06-30,-0.000119895,-0.011989504
boolio,2017-07-01,-0.000119895,-0.011989504
boolio,2017-07-03,-0.003161777,-0.316177746
boolio,2017-07-04,-0.002452398,-0.245239849
boolio,2017-07-05,-0.004076431,-0.407643127
boolio,2017-07-06,-0.002712171,-0.271217107
boolio,2017-07-07,-0.002447857,-0.244785701
boolio,2017-07-08,-0.002447857,-0.244785701
boolio,2017-07-10,-0.006774978,-0.677497791
boolio,2017-07-11,-0.004483348,-0.448334776
boolio,2017-07-12,-0.00178026,-0.178025965
boolio,2017-07-13,-0.001649465,-0.164946506
boolio,2017-07-14,0,0
boolio,2017-07-15,0,0
boolio,2017-07-17,0,0
boolio,2017-07-18,0,0
boolio,2017-07-19,0,0
boolio,2017-07-20,0,0
boolio,2017-07-21,0,0
boolio,2017-07-22,0,0
boolio,2017-07-24,0,0
boolio,2017-07-25,0,0
boolio,2017-07-26,-0.002125111,-0.212511147
boolio,2017-07-27,-0.002258378,-0.225837814
boolio,2017-07-28,0,0
boolio,2017-07-29,0,0
boolio,2017-07-31,-0.007869989,-0.786998872
boolio,2017-08-01,-0.007489096,-0.748909628
boolio,2017-08-02,-0.005162612,-0.516261246
boolio,2017-08-03,-0.003756172,-0.375617162
boolio,2017-08-04,-0.008881231,-0.88812313
boolio,2017-08-05,-0.008881231,-0.88812313
boolio,2017-08-07,-0.008106929,-0.810692884
boolio,2017-08-08,-0.007717095,-0.771709527
boolio,2017-08-09,-0.007564202,-0.756420183
boolio,2017-08-10,-0.012320887,-1.232088667
boolio,2017-08-11,-0.014186008,-1.418600784
boolio,2017-08-12,-0.014186008,-1.418600784
boolio,2017-08-14,-0.024866196,-2.486619589
boolio,2017-08-15,-0.024866196,-2.486619589
boolio,2017-08-16,-0.022283101,-2.228310143
boolio,2017-08-17,-0.016571503,-1.657150317
boolio,2017-08-18,-0.01374521,-1.374520979
boolio,2017-08-19,-0.01374521,-1.374520979
boolio,2017-08-21,-0.019273515,-1.927351474
boolio,2017-08-22,-0.019830548,-1.983054757
boolio,2017-08-23,-0.018364201,-1.836420112
boolio,2017-08-24,-0.015210662,-1.521066213
boolio,2017-08-25,-0.013930291,-1.393029132
boolio,2017-08-26,-0.013930291,-1.393029132
boolio,2017-08-28,-0.014675982,-1.467598214
boolio,2017-08-29,-0.015626425,-1.562642499
boolio,2017-08-30,-0.016516068,-1.651606812
boolio,2017-08-31,-0.015142709,-1.514270949
boolio,2017-09-01,-0.01513198,-1.513198012
boolio,2017-09-02,-0.01513198,-1.513198012
boolio,2017-09-04,-0.013843562,-1.384356229
boolio,2017-09-05,-0.012799237,-1.27992375
boolio,2017-09-06,-0.012843049,-1.284304907
boolio,2017-09-07,-0.014335325,-1.433532482
boolio,2017-09-08,-0.013550293,-1.3550293
boolio,2017-09-09,-0.013550293,-1.3550293
boolio,2017-09-11,-0.01148489,-1.148489037
boolio,2017-09-12,-0.01248898,-1.248898005
boolio,2017-09-13,-0.00948297,-0.948296982
boolio,2017-09-14,-0.007488202,-0.748820217
boolio,2017-09-15,-0.007232486,-0.723248565
boolio,2017-09-16,-0.007232486,-0.723248565
boolio,2017-09-18,-0.008688103,-0.868810274
boolio,2017-09-19,-0.008198128,-0.819812844
boolio,2017-09-20,-0.007530226,-0.753022551
boolio,2017-09-21,-0.00790933,-0.790932972
boolio,2017-09-22,-0.008092623,-0.809262303
boolio,2017-09-23,-0.008092623,-0.809262303
boolio,2017-09-25,-0.009447205,-0.944720527
boolio,2017-09-26,-0.009061842,-0.906184227
boolio,2017-09-27,-0.00951337,-0.951336968
boolio,2017-09-28,-0.008510174,-0.851017412
boolio,2017-09-29,-0.01004805,-1.004804967
boolio,2017-09-30,-0.01004805,-1.004804967
boolio,2017-10-02,-0.01004805,-1.004804967
boolio,2017-10-03,-0.01004805,-1.004804967
boolio,2017-10-04,-0.01004805,-1.004804967
boolio,2017-10-05,-0.01004805,-1.004804967
boolio,2017-10-06,-0.01004805,-1.004804967
boolio,2017-10-07,-0.01004805,-1.004804967
boolio,2017-10-09,-0.01004805,-1.004804967
boolio,2017-10-10,-0.009636757,-0.963675737
boolio,2017-10-11,-0.004190711,-0.419071087
boolio,2017-10-12,-0.003182151,-0.318215063
boolio,2017-10-13,-0.002527659,-0.252765941
boolio,2017-10-14,-0.002527659,-0.252765941
boolio,2017-10-16,-0.002789635,-0.278963472
boolio,2017-10-17,-0.001798063,-0.179806263
boolio,2017-10-18,-0.001479758,-0.147975816
boolio,2017-10-19,-0.001308982,-0.130898244
boolio,2017-10-20,-0.000876231,-0.087623142
boolio,2017-10-21,-0.000876231,-0.087623142
boolio,2017-10-23,-0.000590115,-0.059011504
boolio,2017-10-24,0,0
boolio,2017-10-25,-0.001556615,-0.155661494
boolio,2017-10-26,-0.002193737,-0.21937369
boolio,2017-10-27,-0.004821753,-0.482175329
boolio,2017-10-28,-0.004821753,-0.482175329
boolio,2017-10-30,-0.00521046,-0.521046024
boolio,2017-10-31,-0.00315076,-0.315076021
boolio,2017-11-01,-0.003024766,-0.302476555
boolio,2017-11-02,-0.00213208,-0.213207994
boolio,2017-11-03,-0.002965789,-0.296578932
boolio,2017-11-04,-0.002965789,-0.296578932
boolio,2017-11-06,-0.002583337,-0.258333743
boolio,2017-11-07,-0.002593167,-0.25931668
boolio,2017-11-08,-0.001390409,-0.139040921
boolio,2017-11-09,-0.001980171,-0.198017148
boolio,2017-11-10,-0.001886346,-0.188634566
boolio,2017-11-11,-0.001886346,-0.188634566
boolio,2017-11-13,-0.003476023,-0.347602304
boolio,2017-11-14,-0.007484619,-0.748461927
boolio,2017-11-15,-0.006871624,-0.687162395
boolio,2017-11-16,-0.012315308,-1.231530835
boolio,2017-11-17,-0.010282416,-1.02824157
boolio,2017-11-18,-0.010282416,-1.02824157
boolio,2017-11-20,-0.005844008,-0.584400788
boolio,2017-11-21,-0.009056425,-0.905642506
boolio,2017-11-22,-0.005525,-0.552500011
boolio,2017-11-23,-0.001762138,-0.176213816
boolio,2017-11-24,-0.003497469,-0.349746894
boolio,2017-11-25,-0.003497469,-0.349746894
boolio,2017-11-27,-0.001742479,-0.174247941
boolio,2017-11-28,-0.001171482,-0.117148231
boolio,2017-11-29,0,0
boolio,2017-11-30,0,0
boolio,2017-12-01,0,0
boolio,2017-12-02,0,0
boolio,2017-12-04,0,0
boolio,2017-12-05,-0.001364057,-0.13640571
boolio,2017-12-06,-0.003095701,-0.309570101
boolio,2017-12-07,-0.010050621,-1.005062069
boolio,2017-12-08,-0.005608578,-0.560857762
boolio,2017-12-09,-0.005608578,-0.560857762
boolio,2017-12-11,-0.000407446,-0.040744563
boolio,2017-12-12,0,0
boolio,2017-12-13,0,0
boolio,2017-12-14,0,0
boolio,2017-12-15,-0.001352179,-0.135217911
boolio,2017-12-16,-0.001352179,-0.135217911
boolio,2017-12-18,-0.003857947,-0.385794705
boolio,2017-12-19,0,0
boolio,2017-12-20,0,0
boolio,2017-12-21,-0.001409557,-0.140955653
boolio,2017-12-22,-0.007612483,-0.761248349
boolio,2017-12-23,-0.007612483,-0.761248349
boolio,2017-12-25,-0.007612483,-0.761248349
boolio,2017-12-26,-0.005067378,-0.506737768
