index,date,return
매운맛,2017-07-05,9.6475
매운맛,2017-07-06,9.7977
매운맛,2017-07-07,9.8268
매운맛,2017-07-10,9.3504
매운맛,2017-07-11,9.6027
매운맛,2017-07-12,9.9003
매운맛,2017-07-13,9.9147
매운맛,2017-07-14,10.561
매운맛,2017-07-17,10.749
매운맛,2017-07-18,11.0828
매운맛,2017-07-19,11.1682
매운맛,2017-07-20,11.2108
매운맛,2017-07-21,11.6497
매운맛,2017-07-24,11.7928
매운맛,2017-07-25,11.8059
매운맛,2017-07-26,11.5683
매운맛,2017-07-27,11.5534
매운맛,2017-07-28,11.8426
매운맛,2017-07-31,10.9624
매운맛,2017-08-01,11.005
매운맛,2017-08-02,11.2652
매운맛,2017-08-03,11.4225
매운맛,2017-08-04,10.8493
매운맛,2017-08-07,10.9359
매운맛,2017-08-08,10.9795
매운맛,2017-08-09,10.9966
매운맛,2017-08-10,10.4646
매운맛,2017-08-11,10.256
매운맛,2017-08-14,9.0615
매운맛,2017-08-16,9.3504
매운맛,2017-08-17,9.9892
매운맛,2017-08-18,10.3053
매운맛,2017-08-21,9.687
매운맛,2017-08-22,9.6247
매운맛,2017-08-23,9.7887
매운맛,2017-08-24,10.1414
매운맛,2017-08-25,10.2846
매운맛,2017-08-28,10.2012
매운맛,2017-08-29,10.0949
매운맛,2017-08-30,9.9954
매운맛,2017-08-31,10.149
매운맛,2017-09-01,10.1502
매운맛,2017-09-04,10.2943
매운맛,2017-09-05,10.4111
매운맛,2017-09-06,10.4062
매운맛,2017-09-07,10.2393
매운맛,2017-09-08,10.3271
매운맛,2017-09-11,10.5581
매운맛,2017-09-12,10.4458
매운맛,2017-09-13,10.782
매운맛,2017-09-14,11.0051
매운맛,2017-09-15,11.0337
매운맛,2017-09-18,10.8709
매운맛,2017-09-19,10.9257
매운맛,2017-09-20,11.0004
매운맛,2017-09-21,10.958
매운맛,2017-09-22,10.9375
매운맛,2017-09-25,10.786
매운맛,2017-09-26,10.8291
매운맛,2017-09-27,10.7786
매운맛,2017-09-28,10.8908
매운맛,2017-09-29,10.7188
매운맛,2017-10-10,10.7648
매운맛,2017-10-11,11.3739
매운맛,2017-10-12,11.4867
매운맛,2017-10-13,11.5599
매운맛,2017-10-16,11.5306
매운맛,2017-10-17,11.6415
매운맛,2017-10-18,11.6771
매운맛,2017-10-19,11.6962
매운맛,2017-10-20,11.7446
매운맛,2017-10-23,11.7766
매운맛,2017-10-24,11.9095
매운맛,2017-10-25,11.7353
매운맛,2017-10-26,11.664
매운맛,2017-10-27,11.3699
매운맛,2017-10-30,11.3264
매운맛,2017-10-31,11.5569
매운맛,2017-11-01,11.571
매운맛,2017-11-02,11.6709
매운맛,2017-11-03,11.5776
매운맛,2017-11-06,11.6204
매운맛,2017-11-07,11.6193
매운맛,2017-11-08,11.7539
매운맛,2017-11-09,11.6879
매운맛,2017-11-10,11.6984
매운맛,2017-11-13,11.5205
매운맛,2017-11-14,11.0719
매운맛,2017-11-15,11.1405
매운맛,2017-11-16,10.5313
매운맛,2017-11-17,10.7588
매운맛,2017-11-20,11.2555
매운맛,2017-11-21,10.896
매운맛,2017-11-22,11.2912
매운맛,2017-11-23,11.7123
매운맛,2017-11-24,11.5181
매운맛,2017-11-27,11.7145
매운맛,2017-11-28,11.7784
매운맛,2017-11-29,11.9821
매운맛,2017-11-30,12.3302
매운맛,2017-12-01,12.4756
매운맛,2017-12-04,12.8985
매운맛,2017-12-05,12.7445
매운맛,2017-12-06,12.549
매운맛,2017-12-07,11.7638
매운맛,2017-12-08,12.2653
매운맛,2017-12-11,12.8525
매운맛,2017-12-12,13.143
매운맛,2017-12-13,13.2113
매운맛,2017-12-14,13.2986
매운맛,2017-12-15,13.1454
매운맛,2017-12-18,12.8615
매운맛,2017-12-19,13.7984
매운맛,2017-12-20,13.8656
매운맛,2017-12-21,13.7051
매운맛,2017-12-22,12.9988
매운맛,2017-12-26,13.2886
매운맛,2017-12-27,13.0487
매운맛,2017-12-28,13.6048
매운맛,2017-12-29,13.943
